,file,class
0,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110.JPG,Tomato___Bacterial_spot
1,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG,Tomato___Bacterial_spot
2,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054.JPG,Tomato___Bacterial_spot
3,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326.JPG,Tomato___Bacterial_spot
4,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914.JPG,Tomato___Bacterial_spot
5,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\02626a44-a613-4402-a6b0-243858736e32___GCREC_Bact.Sp 3191.JPG,Tomato___Bacterial_spot
6,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650.JPG,Tomato___Bacterial_spot
7,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\034caf25-29c3-4be2-a725-d2866ce6f548___GCREC_Bact.Sp 3575.JPG,Tomato___Bacterial_spot
8,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\03707c27-7f95-4f19-a173-1c0c74653fdf___GCREC_Bact.Sp 3046.JPG,Tomato___Bacterial_spot
9,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\04210e47-ad95-4648-8f1e-dc183581157c___UF.GRC_BS_Lab Leaf 0320.JPG,Tomato___Bacterial_spot
10,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG,Tomato___Bacterial_spot
11,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\0493c0e5-27e3-41d6-81f0-7830cef39080___UF.GRC_BS_Lab Leaf 8615.JPG,Tomato___Bacterial_spot
12,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\0524de69-51ec-4794-a955-04a8e0c5656c___GCREC_Bact.Sp 3695.JPG,Tomato___Bacterial_spot
13,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\0542f446-f9d7-4173-ab07-f41125b21dc7___GCREC_Bact.Sp 3074.JPG,Tomato___Bacterial_spot
14,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\05530c50-5cb9-484f-91d0-82c9df7689d5___GCREC_Bact.Sp 6051.JPG,Tomato___Bacterial_spot
15,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\05777829-6912-44bb-bcef-901bc5190584___GCREC_Bact.Sp 6150.JPG,Tomato___Bacterial_spot
16,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\05796aef-4298-48b1-ac04-e3ba020cb8b8___GCREC_Bact.Sp 3650.JPG,Tomato___Bacterial_spot
17,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\062e43fa-d640-4e2a-b57f-6d819632235f___UF.GRC_BS_Lab Leaf 8853.JPG,Tomato___Bacterial_spot
18,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\06ac210d-bdb1-4224-9053-c218cb14fa60___GCREC_Bact.Sp 3220.JPG,Tomato___Bacterial_spot
19,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\06c56818-dc01-4603-b93c-1be193f95178___GCREC_Bact.Sp 5831.JPG,Tomato___Bacterial_spot
20,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\06d98f32-c416-4a79-81df-8e64f8bb7779___GCREC_Bact.Sp 3083.JPG,Tomato___Bacterial_spot
21,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\06d99389-13fd-4fd1-8734-eb82ea657ce3___UF.GRC_BS_Lab Leaf 8896.JPG,Tomato___Bacterial_spot
22,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\06f23987-e01b-40dc-98ef-a5b33e86bc90___UF.GRC_BS_Lab Leaf 0308.JPG,Tomato___Bacterial_spot
23,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\070228e2-ba4e-4de8-813b-074e51ed6f5a___UF.GRC_BS_Lab Leaf 0661.JPG,Tomato___Bacterial_spot
24,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\07238109-52ed-4369-b16c-6f5844858b81___UF.GRC_BS_Lab Leaf 0447.JPG,Tomato___Bacterial_spot
25,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\072f9c7d-c296-49d9-a432-6ec9448cab2a___GCREC_Bact.Sp 3558.JPG,Tomato___Bacterial_spot
26,C:\Users\harsh\Desktop\Tomato Disease\dataset/train\Tomato___Bacterial_spot\0740bf94-09c3-4718-8375-6ceed7db97a3___GCREC_Bact.Sp 3628.JPG,Tomato___Bacterial_spot
